date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,preciptotal,temp_fluct,daylight,relative_hum,tavg_weekly,relative_hum_weekly,preciptotal_weekly,tavg_weekly_lag1,tavg_weekly_lag2,relative_hum_weekly_lag1,relative_hum_weekly_lag2,preciptotal_weekly_lag1,preciptotal_weekly_lag2
2007-05-01,83.5,51.0,67.5,14.0,51.0,56.5,0.0,2.5,0.0,32.5,14.016666666666667,0.5545375717295093,56.910714285714285,0.5949135536675282,0.09369047619047619,60.833333333333336,60.7,0.6216871962094167,0.6224692955795593,0.22666666666666668,0.15
2007-05-02,59.5,42.5,51.5,-3.0,42.0,47.0,13.5,0.0,0.0,17.0,14.05,0.6988581909215184,56.910714285714285,0.5949135536675282,0.09369047619047619,60.833333333333336,60.7,0.6216871962094167,0.6224692955795593,0.22666666666666668,0.15
2007-05-03,66.5,47.0,57.0,2.0,40.0,49.0,8.0,0.0,0.0,19.5,14.083333333333334,0.5293954606971287,56.910714285714285,0.5949135536675282,0.09369047619047619,60.833333333333336,60.7,0.6216871962094167,0.6224692955795593,0.22666666666666668,0.15
2007-05-04,72.0,50.0,61.25,4.0,41.5,50.0,7.0,0.0,0.0,22.0,14.133333333333333,0.48422396634013076,56.910714285714285,0.5949135536675282,0.09369047619047619,60.833333333333336,60.7,0.6216871962094167,0.6224692955795593,0.22666666666666668,0.15
2007-05-05,66.0,53.5,60.0,5.0,38.5,49.5,5.0,0.0,0.0,12.5,14.166666666666666,0.44814117963047206,56.910714285714285,0.5949135536675282,0.09369047619047619,60.833333333333336,60.7,0.6216871962094167,0.6224692955795593,0.22666666666666668,0.15
2007-05-06,68.0,50.5,59.5,4.0,30.0,46.0,5.5,0.0,0.0,17.5,14.216666666666667,0.3249687897047148,56.910714285714285,0.5949135536675282,0.09369047619047619,60.833333333333336,60.7,0.6216871962094167,0.6224692955795593,0.22666666666666668,0.15
2007-05-07,83.5,48.5,66.0,10.0,40.0,53.5,0.0,1.0,0.0,35.0,14.25,0.3857366964579091,59.625,0.5862925684861101,0.16151785714285713,56.910714285714285,60.833333333333336,0.5949135536675282,0.6216871962094167,0.09369047619047619,0.22666666666666668
2007-05-08,81.0,57.0,69.0,12.0,57.5,62.5,0.0,4.0,0.0,24.0,14.3,0.6685760043150545,59.625,0.5862925684861101,0.16151785714285713,56.910714285714285,60.833333333333336,0.5949135536675282,0.6216871962094167,0.09369047619047619,0.22666666666666668
2007-05-09,76.5,62.0,69.5,13.0,59.5,63.0,0.0,4.5,0.075,14.5,14.333333333333334,0.7050756721275604,59.625,0.5862925684861101,0.16151785714285713,56.910714285714285,60.833333333333336,0.5949135536675282,0.6216871962094167,0.09369047619047619,0.22666666666666668
2007-05-10,83.5,57.5,70.5,14.0,52.0,60.5,0.0,5.5,0.0,26.0,14.366666666666667,0.5191722038032649,59.625,0.5862925684861101,0.16151785714285713,56.910714285714285,60.833333333333336,0.5949135536675282,0.6216871962094167,0.09369047619047619,0.22666666666666668
2007-05-11,71.5,50.0,61.0,4.0,43.0,51.0,4.0,0.0,0.0,21.5,14.4,0.515138529933864,59.625,0.5862925684861101,0.16151785714285713,56.910714285714285,60.833333333333336,0.5949135536675282,0.6216871962094167,0.09369047619047619,0.22666666666666668
2007-05-12,64.5,46.5,55.5,-2.0,36.5,46.0,9.5,0.0,0.0,18.0,14.433333333333334,0.48693912507095694,59.625,0.5862925684861101,0.16151785714285713,56.910714285714285,60.833333333333336,0.5949135536675282,0.6216871962094167,0.09369047619047619,0.22666666666666668
2007-05-13,69.0,43.5,56.5,-2.0,32.5,46.0,8.5,0.0,0.0,25.5,14.466666666666667,0.40069069375979943,59.625,0.5862925684861101,0.16151785714285713,56.910714285714285,60.833333333333336,0.5949135536675282,0.6216871962094167,0.09369047619047619,0.22666666666666668
2007-05-14,90.0,55.0,72.5,15.0,46.0,58.5,0.0,7.5,0.0,35.0,14.5,0.38768920923877104,60.535714285714285,0.5733127290348684,0.089375,59.625,56.910714285714285,0.5862925684861101,0.5949135536675282,0.16151785714285713,0.09369047619047619
2007-05-15,81.0,56.5,69.0,11.0,56.0,61.0,0.0,4.0,0.49,24.5,14.533333333333333,0.6324179235088772,60.535714285714285,0.5733127290348684,0.089375,59.625,56.910714285714285,0.5862925684861101,0.5949135536675282,0.16151785714285713,0.09369047619047619
2007-05-16,65.0,44.5,55.0,-4.0,42.5,47.5,10.0,0.0,0.10500000000000001,20.5,14.566666666666666,0.6266015628756241,60.535714285714285,0.5733127290348684,0.089375,59.625,56.910714285714285,0.5862925684861101,0.5949135536675282,0.16151785714285713,0.09369047619047619
2007-05-17,61.5,43.5,53.0,-6.0,32.0,43.0,12.0,0.0,0.0,18.0,14.6,0.44579176475661264,60.535714285714285,0.5733127290348684,0.089375,59.625,56.910714285714285,0.5862925684861101,0.5949135536675282,0.16151785714285713,0.09369047619047619
2007-05-18,70.5,42.5,57.0,-3.0,30.5,46.5,8.0,0.0,0.0,28.0,14.633333333333333,0.3627711487660165,60.535714285714285,0.5733127290348684,0.089375,59.625,56.910714285714285,0.5862925684861101,0.5949135536675282,0.16151785714285713,0.09369047619047619
2007-05-19,80.0,56.0,68.0,8.0,38.0,53.0,0.0,3.0,0.0,24.0,14.666666666666666,0.3322482713936102,60.535714285714285,0.5733127290348684,0.089375,59.625,56.910714285714285,0.5862925684861101,0.5949135536675282,0.16151785714285713,0.09369047619047619
2007-05-20,69.0,43.5,56.5,-5.0,40.5,44.5,8.5,0.0,0.09,25.5,14.7,0.5492124926256452,60.535714285714285,0.5733127290348684,0.089375,59.625,56.910714285714285,0.5862925684861101,0.5949135536675282,0.16151785714285713,0.09369047619047619
2007-05-21,79.5,45.0,62.5,1.0,50.0,56.5,2.5,0.0,0.0,34.5,14.733333333333333,0.6361060778722758,64.80357142857143,0.5655004890372376,0.15526785714285715,60.535714285714285,59.625,0.5733127290348684,0.5862925684861101,0.089375,0.16151785714285713
2007-05-22,87.0,57.5,72.5,10.0,45.0,58.0,0.0,7.5,0.0,29.5,14.766666666666667,0.37469484408161235,64.80357142857143,0.5655004890372376,0.15526785714285715,60.535714285714285,59.625,0.5733127290348684,0.5862925684861101,0.089375,0.16151785714285713
