date,species,latitude,longitude,wnvpresent,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,preciptotal,temp_fluct,daylight,relative_hum,tavg_weekly,relative_hum_weekly,preciptotal_weekly,tavg_weekly_lag1,tavg_weekly_lag2,relative_hum_weekly_lag1,relative_hum_weekly_lag2,preciptotal_weekly_lag1,preciptotal_weekly_lag2
2007-05-29,PIPIENS/RESTUANS,41.95469,-87.800991,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.95469,-87.800991,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.994991,-87.769279,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,PIPIENS/RESTUANS,41.974089,-87.824812,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.974089,-87.824812,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.9216,-87.666455,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.891118,-87.654491,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,PIPIENS/RESTUANS,41.867108,-87.654224,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.867108,-87.654224,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.896282,-87.655232,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,PIPIENS/RESTUANS,41.919343,-87.694259,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,PIPIENS/RESTUANS,41.921965,-87.632085,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.921965,-87.632085,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,PIPIENS/RESTUANS,41.688324,-87.676709,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.688324,-87.676709,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.862292,-87.64886,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.720848,-87.666014,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,RESTUANS,41.731922,-87.677512,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
2007-05-29,PIPIENS,41.731922,-87.677512,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,0.0,25.5,14.933333333333334,0.5558396066074116,63.910714285714285,0.6907502424125178,0.0,60.7,60.7,0.6356940780660786,0.6356940780660786,0.15,0.15
